,0
YP Acetate 2%,0.1431576994633008
YPD 14C,0.1765056886470647
YPD 40C,0.3546915664895474
YPD 42C,0.3355851701662243
YPD 6-Azauracile 600µg/ml,0.23133658364998239
YPD Anisomycin 10µg/ml,0.42877769919144965
YPD Anisomycin 20µg/ml,0.3620769527789077
YPD Anisomycin 50µg/ml,0.16547751810339562
YPD Benomyl 200µg/ml,0.184948621686997
YPD Benomyl 500µg/ml,0.5728224666115309
YPD Caffeine 40mM,0.5396216066919453
YPD Caffeine 50mM,0.5517411097883711
YPD Cycloheximide 0.5µg/ml,0.27738330517756066
YPD Cycloheximide 1µg/ml,0.18058818395301862
YPD CuSO4 10mM,0.534874881937613
YPD DMSO 6%,0.10697351803235625
YPD Ethanol 15%,0.19604016752397452
YPD Fluconazole 20µg/ml,0.16626703798786177
YPD Formamide 4%,0.1332035433935038
YPD Formamide 5%,0.11087696888914958
YPD Hydroxyurea 30mg/ml,0.1441769171594352
YPD KCL 2M,0.29467156896218755
YPD LiCl 250mM,0.20675759221561868
YPD Methylviologen 20mM,0.2591869707300079
YPD NaCl 1.5M,0.27818932047014217
YPD NaCl 1M,0.3612727964205006
YPD Nystatin 10µg/ml,0.1440719968851682
YPD SDS 0.2%,0.28358268461948677
YPD Sodium metaarsenite 2.5mM,0.3129352536619078
YP Ethanol 2%,0.15974885176486628
YP Galactose 2%,0.26151913391394216
YP Ribose 2%,0.1597820194191869
YP Glycerol 2%,0.11707785440486403
YP Xylose 2%,0.14072154317844637
YP Sorbitol 2%,0.08712532477604025
